County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle CAFV Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
Kitsap,Seabeck,WA,98380,2021,BMW,X5,0,1,30,0,35,267929112,-122.8728334 47.5798304,PUGET SOUND ENERGY INC,53035091301
Kitsap,Poulsbo,WA,98370,2018,TESLA,MODEL 3,1,1,215,0,23,475911439,-122.6368884 47.7469547,PUGET SOUND ENERGY INC,53035091100
Snohomish,Bothell,WA,98012,2016,PORSCHE,PANAMERA,0,2,15,0,1,101971278,-122.206146 47.839957,PUGET SOUND ENERGY INC,53061052009
Kitsap,Bremerton,WA,98310,2018,TESLA,MODEL 3,1,1,215,0,23,474363746,-122.6231895 47.5930874,PUGET SOUND ENERGY INC,53035080200
King,Redmond,WA,98052,2019,NISSAN,LEAF,1,1,150,0,45,476346482,-122.13158 47.67858,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032323
Snohomish,Bothell,WA,98012,2015,FORD,FUSION,0,2,19,0,21,9620047,-122.206146 47.839957,PUGET SOUND ENERGY INC,53061041704
King,Renton,WA,98055,2020,TESLA,MODEL Y,1,1,291,0,11,124565731,-122.2003346 47.4487206,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033025805
King,Seattle,WA,98107,2021,BMW,X3,0,2,17,0,36,135327104,-122.38591 47.67597,CITY OF SEATTLEWACITY OF TACOMAWA,53033004702
King,Bellevue,WA,98007,2015,NISSAN,LEAF,1,1,84,0,48,105509778,-122.1436732 47.6157551,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033023300
King,Seattle,WA,98125,2017,TESLA,MODEL S,1,1,210,0,46,348605603,-122.30253 47.72656,CITY OF SEATTLEWACITY OF TACOMAWA,53033000900
Kitsap,Port Orchard,WA,98366,2017,CHEVROLET,BOLT EV,1,1,238,0,26,176855283,-122.63847 47.54103,PUGET SOUND ENERGY INC,53035092200
Snohomish,Lynnwood,WA,98087,2019,TESLA,MODEL 3,1,1,220,0,21,110038288,-122.27336 47.861417,PUGET SOUND ENERGY INC,53061041812
Kitsap,Poulsbo,WA,98370,2024,TOYOTA,RAV4 PRIME,0,1,42,0,23,271853067,-122.6368884 47.7469547,PUGET SOUND ENERGY INC,53035090502
